State,Region,Year,Snakebite cases,Latitude,Longitude
Rondonia,Norte,2000,293,-11.64002724,-61.20999536
Rondonia,Norte,2001,415,-11.64002724,-61.20999536
Rondonia,Norte,2002,522,-11.64002724,-61.20999536
Rondonia,Norte,2003,740,-11.64002724,-61.20999536
Rondonia,Norte,2004,657,-11.64002724,-61.20999536
Rondonia,Norte,2005,672,-11.64002724,-61.20999536
Rondonia,Norte,2006,585,-11.64002724,-61.20999536
Rondonia,Norte,2007,487,-11.64002724,-61.20999536
Rondonia,Norte,2008,433,-11.64002724,-61.20999536
Rondonia,Norte,2009,449,-11.64002724,-61.20999536
Rondonia,Norte,2010,484,-11.64002724,-61.20999536
Rondonia,Norte,2011,453,-11.64002724,-61.20999536
Rondonia,Norte,2012,458,-11.64002724,-61.20999536
Rondonia,Norte,2013,446,-11.64002724,-61.20999536
Rondonia,Norte,2014,546,-11.64002724,-61.20999536
Rondonia,Norte,2015,512,-11.64002724,-61.20999536
Rondonia,Norte,2016,492,-11.64002724,-61.20999536
Rondonia,Norte,2017,479,-11.64002724,-61.20999536
Rondonia,Norte,2018,576,-11.64002724,-61.20999536
Rondonia,Norte,2019,650,-11.64002724,-61.20999536
Rondonia,Norte,2020,661,-11.64002724,-61.20999536
Rondonia,Norte,2021,545,-11.64002724,-61.20999536
Rondonia,Norte,2022,494,-11.64002724,-61.20999536
Acre,Norte,2000,103,-9.070003236,-68.66997929
Acre,Norte,2001,100,-9.070003236,-68.66997929
Acre,Norte,2002,172,-9.070003236,-68.66997929
Acre,Norte,2003,203,-9.070003236,-68.66997929
Acre,Norte,2004,239,-9.070003236,-68.66997929
Acre,Norte,2005,318,-9.070003236,-68.66997929
Acre,Norte,2006,329,-9.070003236,-68.66997929
Acre,Norte,2007,296,-9.070003236,-68.66997929
Acre,Norte,2008,401,-9.070003236,-68.66997929
Acre,Norte,2009,422,-9.070003236,-68.66997929
Acre,Norte,2010,534,-9.070003236,-68.66997929
Acre,Norte,2011,461,-9.070003236,-68.66997929
Acre,Norte,2012,423,-9.070003236,-68.66997929
Acre,Norte,2013,471,-9.070003236,-68.66997929
Acre,Norte,2014,482,-9.070003236,-68.66997929
Acre,Norte,2015,521,-9.070003236,-68.66997929
Acre,Norte,2016,467,-9.070003236,-68.66997929
Acre,Norte,2017,448,-9.070003236,-68.66997929
Acre,Norte,2018,438,-9.070003236,-68.66997929
Acre,Norte,2019,508,-9.070003236,-68.66997929
Acre,Norte,2020,447,-9.070003236,-68.66997929
Acre,Norte,2021,451,-9.070003236,-68.66997929
Acre,Norte,2022,460,-9.070003236,-68.66997929
Amazonas,Norte,2000,311,-3.289580873,-60.6199797
Amazonas,Norte,2001,273,-3.289580873,-60.6199797
Amazonas,Norte,2002,612,-3.289580873,-60.6199797
Amazonas,Norte,2003,940,-3.289580873,-60.6199797
Amazonas,Norte,2004,137,-3.289580873,-60.6199797
